AK,Voting Rights Report Card:,Alaska,7,2
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,65%,11,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,72%,11,9
Access,Weekend Early Voting: State Minimum:,No rule,11,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Ballot sent to all,11,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,8,11,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,11,13
Access,VBM Review: Rejection Rate: 2018:,2.0%,11,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,11,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count. Exclude ballots tallied after election day,11,16
Checking,Good Audit Sample to Check Computer Tallies?,1%,11,17
Checking,Audit All Contests? Number of Contests Checked:,All,11,18
Checking,Can Public Recount with Copies of Ballots?,No ballots. Availability of images unknown,11,19
Checking,Total Score:,48.6,11,20
CO,Voting Rights Report Card:,Colorado,12,2
Grade,Grade for Selected Aspects Below:,A,12,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,Yes,12,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$600,12,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,12,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,76%,12,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,68%,12,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,69%,12,9
Access,Weekend Early Voting: State Minimum:,2Sat: last 2 Sat,12,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Ballot sent to all,12,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,8,12,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,12,13
Access,VBM Review: Rejection Rate: 2018:,0.8%,12,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,12,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,12,16
Checking,Good Audit Sample to Check Computer Tallies?,Statistical,12,17
Checking,Audit All Contests? Number of Contests Checked:,2 have enough sample. Limited info on others,12,18
Checking,Can Public Recount with Copies of Ballots?,Keep+release images & ballots after recount,12,19
Checking,Total Score:,58.6,12,20
CT,Voting Rights Report Card:,Connecticut,13,2
Grade,Grade for Selected Aspects Below:,B,13,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,13,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$900,13,5
Campaigns,Public Campaign $ for Gov+Legislature:,Both,13,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,71%,13,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,63%,13,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,75%,13,9
Access,Weekend Early Voting: State Minimum:,No law,13,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Applic.sent to all,13,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,13,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,13,13
Access,VBM Review: Rejection Rate: 2018:,No signature checks,13,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,13,15
Checking,Hand Tally Audits to Check Computer Tallies?,Machines or hand. Exclude early+VBM+prov.,13,16
Checking,Good Audit Sample to Check Computer Tallies?,5%. After results are final,13,17
Checking,Audit All Contests? Number of Contests Checked:,3,13,18
Checking,Can Public Recount with Copies of Ballots?,Law untested. Policy not to release,13,19
Checking,Total Score:,34.7,13,20
DC,Voting Rights Report Card:,Dist.of Columbia,14,2
Grade,Grade for Selected Aspects Below:,A,14,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No: 1CD,14,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,no limit,14,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,14,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,64%,14,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,87%,14,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,79%,14,9
Access,Weekend Early Voting: State Minimum:,1Sat 8:30-7,14,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Ballot sent to all,14,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,14,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,14,13
Access,VBM Review: Rejection Rate: 2018:,3.6%,14,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,14,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,14,16
Checking,Good Audit Sample to Check Computer Tallies?,5%,14,17
Checking,Audit All Contests? Number of Contests Checked:,4 random,14,18
Checking,Can Public Recount with Copies of Ballots?,Unknown release policy,14,19
Checking,Total Score:,43.8,14,20
DE,Voting Rights Report Card:,Delaware,15,2
Grade,Grade for Selected Aspects Below:,B,15,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No: 1CD,15,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$900,15,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,15,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,71%,15,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,57%,15,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,95%,15,9
Access,Weekend Early Voting: State Minimum:,4Sat+Sun. 8 hrs/day. 7am half the days,15,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Applic.sent to all,15,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,15,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,15,13
Access,VBM Review: Rejection Rate: 2018:,No signature checks,15,14
Checking,Do Votes Have a Paper Trail? 2022:,bmd,15,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,15,16
Checking,Good Audit Sample to Check Computer Tallies?,2 machines per county. 3 districts in Wilmington,15,17
Checking,Audit All Contests? Number of Contests Checked:,All,15,18
Checking,Can Public Recount with Copies of Ballots?,No ballots. Availability of images unknown,15,19
Checking,Total Score:,42.2,15,20
FL,Voting Rights Report Card:,Florida,16,2
Grade,Grade for Selected Aspects Below:,A,16,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,16,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$3000,16,5
Campaigns,Public Campaign $ for Gov+Legislature:,Gov+Cabinet,16,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,72%,16,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,54%,16,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,80%,16,9
Access,Weekend Early Voting: State Minimum:,No rule,16,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,16,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,2,16,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,16,13
Access,VBM Review: Rejection Rate: 2018:,1.2%,16,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,16,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,16,16
Checking,Good Audit Sample to Check Computer Tallies?,1%,16,17
Checking,Audit All Contests? Number of Contests Checked:,1 random,16,18
Checking,Can Public Recount with Copies of Ballots?,Keep images in many counties+release images+ballots,16,19
Checking,Total Score:,48.8,16,20
GA,Voting Rights Report Card:,Georgia,17,2
Grade,Grade for Selected Aspects Below:,B,17,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,17,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$8400,17,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,17,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,68%,17,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,62%,17,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,99%,17,9
Access,Weekend Early Voting: State Minimum:,2Sat 9-5,17,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,17,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,3,17,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,17,13
Access,VBM Review: Rejection Rate: 2018:,"No signature, use ID number",17,14
Checking,Do Votes Have a Paper Trail? 2022:,bmd,17,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,17,16
Checking,Good Audit Sample to Check Computer Tallies?,Statistical,17,17
Checking,Audit All Contests? Number of Contests Checked:,1,17,18
Checking,Can Public Recount with Copies of Ballots?,Keep images & release,17,19
Checking,Total Score:,40.8,17,20
HI,Voting Rights Report Card:,Hawaii,18,2
Grade,Grade for Selected Aspects Below:,A,18,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,Yes,18,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$8000,18,5
Campaigns,Public Campaign $ for Gov+Legislature:,Both,18,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,58%,18,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,51%,18,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,84%,18,9
Access,Weekend Early Voting: State Minimum:,2Sat 8-4:30 last 2 Sat,18,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Ballot to all+ Signature update from all,18,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,7,18,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,18,13
Access,VBM Review: Rejection Rate: 2018:,0.7%,18,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+vvpat4access,18,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,18,16
Checking,Good Audit Sample to Check Computer Tallies?,10%,18,17
Checking,Audit All Contests? Number of Contests Checked:,?,18,18
Checking,Can Public Recount with Copies of Ballots?,Unknown release policy,18,19
Checking,Total Score:,52.8,18,20
IA,Voting Rights Report Card:,Iowa,19,2
Grade,Grade for Selected Aspects Below:,B,19,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,Yes,19,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,no limit,19,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,19,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,73%,19,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,54%,19,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,83%,19,9
Access,Weekend Early Voting: State Minimum:,No rule,19,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Applic.sent to all,19,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,0,19,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,19,13
Access,VBM Review: Rejection Rate: 2018:,No signature checks,19,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,19,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,19,16
Checking,Good Audit Sample to Check Computer Tallies?,?,19,17
Checking,Audit All Contests? Number of Contests Checked:,1,19,18
Checking,Can Public Recount with Copies of Ballots?,Unknown release policy,19,19
Checking,Total Score:,37.3,19,20
ID,Voting Rights Report Card:,Idaho,20,2
Grade,Grade for Selected Aspects Below:,C,20,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,Yes,20,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$3000,20,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,20,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,68%,20,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,41%,20,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,60%,20,9
Access,Weekend Early Voting: State Minimum:,No rule,20,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,20,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,20,12
Access,Good VBM List Tracks Address Changes & Deaths:,No,20,13
Access,VBM Review: Rejection Rate: 2018:,1.6%,20,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,20,15
Checking,Hand Tally Audits to Check Computer Tallies?,No audit unless recount happens,20,16
Checking,Good Audit Sample to Check Computer Tallies?,0%,20,17
Checking,Audit All Contests? Number of Contests Checked:,,20,18
Checking,Can Public Recount with Copies of Ballots?,Yes after recount. Unknown if images kept,20,19
Checking,Total Score:,30.6,20,20
IL,Voting Rights Report Card:,Illinois,21,2
Grade,Grade for Selected Aspects Below:,A,21,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,21,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$17400,21,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,21,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,67%,21,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,55%,21,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,77%,21,9
Access,Weekend Early Voting: State Minimum:,2Sat+Sun: 14 hours on last Sat+Sun,21,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Applic.sent to all,21,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,14,21,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,21,13
Access,VBM Review: Rejection Rate: 2018:,2.2%,21,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,21,15
Checking,Hand Tally Audits to Check Computer Tallies?,Audit by using different machine. Exclude VBM+ provisional,21,16
Checking,Good Audit Sample to Check Computer Tallies?,5%,21,17
Checking,Audit All Contests? Number of Contests Checked:,All,21,18
Checking,Can Public Recount with Copies of Ballots?,No ballots. Availability of images unknown,21,19
Checking,Total Score:,46.8,21,20
IN,Voting Rights Report Card:,Indiana,22,2
Grade,Grade for Selected Aspects Below:,C,22,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,22,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,no limit,22,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,22,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,61%,22,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,60%,22,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,83%,22,9
Access,Weekend Early Voting: State Minimum:,2Sat: last 2,22,10
Access,Access to Vote by Mail (VBM):,VBM for limited reasons,22,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,22,12
Access,Good VBM List Tracks Address Changes & Deaths:,No,22,13
Access,VBM Review: Rejection Rate: 2018:,0.5%,22,14
Checking,Do Votes Have a Paper Trail? 2022:,dre34% bmd30%,22,15
Checking,Hand Tally Audits to Check Computer Tallies?,Not required,22,16
Checking,Good Audit Sample to Check Computer Tallies?,0%,22,17
Checking,Audit All Contests? Number of Contests Checked:,,22,18
Checking,Can Public Recount with Copies of Ballots?,No ballots. Availability of images unknown,22,19
Checking,Total Score:,17.1,22,20
KS,Voting Rights Report Card:,Kansas,23,2
Grade,Grade for Selected Aspects Below:,A,23,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,23,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$2000,23,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,23,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,66%,23,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,63%,23,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,79%,23,9
Access,Weekend Early Voting: State Minimum:,No rule,23,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,23,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,23,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,23,13
Access,VBM Review: Rejection Rate: 2018:,1.1%,23,14
Checking,Do Votes Have a Paper Trail? 2022:,bmd28% hmpb71%,23,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,23,16
Checking,Good Audit Sample to Check Computer Tallies?,1%,23,17
Checking,Audit All Contests? Number of Contests Checked:,3-4,23,18
Checking,Can Public Recount with Copies of Ballots?,Yes after certification; but 28% DRE,23,19
Checking,Total Score:,42.4,23,20
KY,Voting Rights Report Card:,Kentucky,24,2
Grade,Grade for Selected Aspects Below:,C,24,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,24,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$6000,24,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,24,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,65%,24,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,42%,24,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,95%,24,9
Access,Weekend Early Voting: State Minimum:,No law,24,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,24,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,24,12
Access,Good VBM List Tracks Address Changes & Deaths:,No,24,13
Access,VBM Review: Rejection Rate: 2018:,6.8%,24,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb. Accessibility by bmd or dre without vvpat,24,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,24,16
Checking,Good Audit Sample to Check Computer Tallies?,3%,24,17
Checking,Audit All Contests? Number of Contests Checked:,?,24,18
Checking,Can Public Recount with Copies of Ballots?,No ballots. Availability of images unknown,24,19
Checking,Total Score:,33.2,24,20
LA,Voting Rights Report Card:,Louisiana,25,2
Grade,Grade for Selected Aspects Below:,C,25,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,25,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$7500,25,5
Campaigns,Public Campaign $ for Gov+Legislature:,No,25,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,65%,25,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,47%,25,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,91%,25,9
Access,Weekend Early Voting: State Minimum:,1Sat 8:30-6 M-Sa,25,10
Access,Access to Vote by Mail (VBM):,VBM for limited reasons,25,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,25,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,25,13
Access,VBM Review: Rejection Rate: 2018:,5.9%,25,14
Checking,Do Votes Have a Paper Trail? 2022:,"dre100%,noVvpat",25,15
Checking,Hand Tally Audits to Check Computer Tallies?,No audit,25,16
Checking,Good Audit Sample to Check Computer Tallies?,0%,25,17
Checking,Audit All Contests? Number of Contests Checked:,,25,18
Checking,Can Public Recount with Copies of Ballots?,Yes; but 100% DRE,25,19
Checking,Total Score:,21.2,25,20
MA,Voting Rights Report Card:,Massachusetts,26,2
Grade,Grade for Selected Aspects Below:,A,26,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,26,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$4000,26,5
Campaigns,Public Campaign $ for Gov+Legislature:,Statewide,26,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,72%,26,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,58%,26,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,75%,26,9
Access,Weekend Early Voting: State Minimum:,No rule,26,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Applic.sent to all,26,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,0,26,12
Access,Good VBM List Tracks Address Changes & Deaths:,Yes,26,13
Access,VBM Review: Rejection Rate: 2018:,5.8%,26,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,26,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count,26,16
Checking,Good Audit Sample to Check Computer Tallies?,3%,26,17
Checking,Audit All Contests? Number of Contests Checked:,6. 1 is random,26,18
Checking,Can Public Recount with Copies of Ballots?,Unknown release policy. Not keep images,26,19
Checking,Total Score:,47.8,26,20
MD,Voting Rights Report Card:,Maryland,27,2
Grade,Grade for Selected Aspects Below:,B,27,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,27,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$6000,27,5
Campaigns,Public Campaign $ for Gov+Legislature:,Gov+Lt.Gov,27,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,71%,27,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,66%,27,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,83%,27,9
Access,Weekend Early Voting: State Minimum:,2Sat+Sun: last weekend,27,10
Access,Access to Vote by Mail (VBM):,Broad VBM: Applic.sent to all,27,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,27,12
Access,Good VBM List Tracks Address Changes & Deaths:,No,27,13
Access,VBM Review: Rejection Rate: 2018:,No signature checks,27,14
Checking,Do Votes Have a Paper Trail? 2022:,hmpb+bmd4access,27,15
Checking,Hand Tally Audits to Check Computer Tallies?,Hand count & independent tally of 100% images,27,16
Checking,Good Audit Sample to Check Computer Tallies?,1%-2%. After results are final,27,17
Checking,Audit All Contests? Number of Contests Checked:,?,27,18
Checking,Can Public Recount with Copies of Ballots?,Keep+release images & ballots after recount,27,19
Checking,Total Score:,36.6,27,20
ME,Voting Rights Report Card:,Maine,28,2
Grade,Grade for Selected Aspects Below:,B,28,3
Campaigns,Nonpartisan or Bipartisan Redistricting to Avoid Gerrymanders:,No,28,4
Campaigns,Contrbution Limit per Candidate per 4 Years:,$496.5,28,5
Campaigns,Public Campaign $ for Gov+Legislature:,Both,28,6
Turnout,Turnout: % of Voting-age Citizens: 2020:,76%,28,7
Turnout,Ratio of 18-24 Turnout to 25+ Turnout: 2018:,42%,28,8
Turnout,Ratio of Minority to White Non-Hispanic Turnout: 2018:,64%,28,9
Access,Weekend Early Voting: State Minimum:,No rule,28,10
Access,Access to Vote by Mail (VBM):,Broad VBM: if Voter asks,28,11
Access,Number of Days when Voters Can Cure Signature Problems after Election Day:,No cure,28,12
